student_hash,id,submitted_on,grade,compiles,regex,regex_runime
e46a5437b3924f2878d6a9aef7cf3bb1,66c7acb7163decb65c995193,2024-08-22 23:25:11.937,100.0,False,False,1.0768966674804688
e46a5437b3924f2878d6a9aef7cf3bb1,66c7acac1abc3550cffdbc6f,2024-08-22 23:25:00.589,0.0,False,False,0.016680479049682617
e46a5437b3924f2878d6a9aef7cf3bb1,66c7ac925a361291a3a9e6ee,2024-08-22 23:24:34.481,100.0,False,False,0.034717559814453125
e46a5437b3924f2878d6a9aef7cf3bb1,66c7ac7e1abc3550cffdbc6a,2024-08-22 23:24:14.904,0.0,False,False,0.020070791244506836
e46a5437b3924f2878d6a9aef7cf3bb1,66c7a87726943bbfc41d00aa,2024-08-22 23:07:03.531,0.0,True,False,0.01701211929321289
604adb83e92b6c23f369313c1c310c0b,66c75d261abc3550cffdb83b,2024-08-22 17:45:42.002,100.0,True,False,0.01104593276977539
604adb83e92b6c23f369313c1c310c0b,66c75d121abc3550cffdb833,2024-08-22 17:45:21.991,100.0,True,False,0.022231101989746094
604adb83e92b6c23f369313c1c310c0b,66c75d045a361291a3a9e321,2024-08-22 17:45:08.418,0.0,True,False,0.021944522857666016
604adb83e92b6c23f369313c1c310c0b,66c75cfbdad4f4d810cce271,2024-08-22 17:44:59.441,0.0,True,False,0.01815176010131836
604adb83e92b6c23f369313c1c310c0b,66c75ce7163decb65c994d87,2024-08-22 17:44:39.665,0.0,True,False,0.017023086547851562
944facfeb153b4f01916a0f166fcc315,66c74313fda3507fd6871ce4,2024-08-22 15:54:27.931,100.0,False,False,0.003043651580810547
944facfeb153b4f01916a0f166fcc315,66c742b8163decb65c994a6d,2024-08-22 15:52:56.521,0.0,False,False,0.01669764518737793
944facfeb153b4f01916a0f166fcc315,66bca5b7ac2f50fd0ed476f8,2024-08-14 14:40:23.459,100.0,True,False,0.02902531623840332
aada84856dc9e43f1ea94d6d41136514,66c737a6ac2f50fd0ed4f641,2024-08-22 15:05:42.868,0.0,True,False,0.02081775665283203
aada84856dc9e43f1ea94d6d41136514,66c72ad6163decb65c994827,2024-08-22 14:11:02.237,0.0,False,False,0.02913355827331543
aada84856dc9e43f1ea94d6d41136514,658ff9b6c6b05849cef3fd20,2023-12-30 12:06:30.610,100.0,True,False,0.01704716682434082
aada84856dc9e43f1ea94d6d41136514,658ff9abc6b05849cef3fd18,2023-12-30 12:06:19.936,0.0,True,False,0.004035234451293945
aada84856dc9e43f1ea94d6d41136514,658ff99d781f8e163a56c7f2,2023-12-30 12:06:05.097,0.0,True,False,0.016173601150512695
30bd04c5501f2ea8eff65019079bfb8a,66c7322bfda3507fd6871a88,2024-08-22 14:42:19.733,100.0,True,False,0.033133506774902344
30bd04c5501f2ea8eff65019079bfb8a,658adab68ba6947cb335eb36,2023-12-26 14:52:54.629,0.0,True,False,0.019886016845703125
30bd04c5501f2ea8eff65019079bfb8a,65210fdc1717518346c1e634,2023-10-07 09:59:24.285,0.0,True,False,0.004003286361694336
30bd04c5501f2ea8eff65019079bfb8a,65210fd0395ce1c138d984c4,2023-10-07 09:59:12.003,0.0,False,False,0.013780832290649414
30bd04c5501f2ea8eff65019079bfb8a,651a909b729763122307d293,2023-10-02 11:42:51.929,0.0,False,False,0.013034820556640625
3e49b721017cc2aa5a02df6cb1b12ab2,66c731cedad4f4d810ccdafe,2024-08-22 14:40:46.665,100.0,True,True,0.021698951721191406
3e49b721017cc2aa5a02df6cb1b12ab2,66c731c7dad4f4d810ccdaf9,2024-08-22 14:40:39.739,0.0,True,True,0.02219104766845703
3e49b721017cc2aa5a02df6cb1b12ab2,66c731acdad4f4d810ccdaf4,2024-08-22 14:40:12.199,100.0,True,True,0.011536359786987305
3e49b721017cc2aa5a02df6cb1b12ab2,6592e1270bcda0a7577ffb2d,2024-01-01 16:58:31.144,100.0,True,False,0.017881393432617188
3e49b721017cc2aa5a02df6cb1b12ab2,6592df930bcda0a7577ffaea,2024-01-01 16:51:47.549,0.0,True,False,0.010040760040283203
162f10817c50d28cc47f236967fd844c,66c73114ac2f50fd0ed4f523,2024-08-22 14:37:40.921,0.0,True,False,0.016274452209472656
162f10817c50d28cc47f236967fd844c,66c7310c163decb65c99488c,2024-08-22 14:37:32.842,0.0,True,False,0.01671743392944336
162f10817c50d28cc47f236967fd844c,66be0ea95a361291a3a99f3a,2024-08-15 16:20:25.232,100.0,True,False,0.018695831298828125
162f10817c50d28cc47f236967fd844c,66be0e9ffda3507fd686ceae,2024-08-15 16:20:15.560,0.0,True,False,0.014856338500976562
162f10817c50d28cc47f236967fd844c,66be0e77fda3507fd686cea4,2024-08-15 16:19:35.442,0.0,True,False,0.020221233367919922
6f72567b71a5a0cbf70d8877bc38c99b,66c730f4ac2f50fd0ed4f517,2024-08-22 14:37:08.483,100.0,True,True,0.017000675201416016
6f72567b71a5a0cbf70d8877bc38c99b,66c730d6dad4f4d810ccdaea,2024-08-22 14:36:38.760,0.0,True,True,0.011040925979614258
6f72567b71a5a0cbf70d8877bc38c99b,66c730c41abc3550cffdb193,2024-08-22 14:36:20.224,0.0,True,True,0.016236066818237305
6f72567b71a5a0cbf70d8877bc38c99b,66c730b5163decb65c99487c,2024-08-22 14:36:05.989,0.0,True,True,0.01668405532836914
6f72567b71a5a0cbf70d8877bc38c99b,66c4491d5a361291a3a9bde9,2024-08-20 09:43:25.355,100.0,True,True,0.022656679153442383
1d90341adf2873660b21185f08791eb3,66c6ee73dad4f4d810ccd5ba,2024-08-22 09:53:23.918,100.0,True,False,0.011885404586791992
1d90341adf2873660b21185f08791eb3,65d8dbc968c924d38a27b59f,2024-02-23 18:54:17.614,100.0,True,False,0.026230573654174805
1d90341adf2873660b21185f08791eb3,65d8dbc2537522460a66ac43,2024-02-23 18:54:10.759,100.0,True,False,0.004000663757324219
1d90341adf2873660b21185f08791eb3,65d8dbb6537522460a66ac39,2024-02-23 18:53:58.673,100.0,True,False,0.002978086471557617
1d90341adf2873660b21185f08791eb3,65d8dbb1de9955d74516c02d,2024-02-23 18:53:53.640,100.0,True,False,0.0019991397857666016
ee2652075ad33343c79c5a6a1161371b,66c6da37ac2f50fd0ed4eb71,2024-08-22 08:27:03.484,100.0,True,False,0.01303410530090332
