student_hash,id,submitted_on,grade,compiles,flake8,flake8_runtime
e46a5437b3924f2878d6a9aef7cf3bb1,66c7ce28ac2f50fd0ed50982,2024-08-23 01:47:52.750,100.0,True,False,3.5923781394958496
e46a5437b3924f2878d6a9aef7cf3bb1,66c7cdd5ec01ef72aa803bef,2024-08-23 01:46:29.159,0.0,True,False,0.7730238437652588
e46a5437b3924f2878d6a9aef7cf3bb1,66c7cd9aac2f50fd0ed50971,2024-08-23 01:45:30.895,0.0,True,False,0.6781487464904785
e46a5437b3924f2878d6a9aef7cf3bb1,66c7ccd3ec01ef72aa803bea,2024-08-23 01:42:11.775,0.0,True,False,0.9349851608276367
e46a5437b3924f2878d6a9aef7cf3bb1,66c7ccb426943bbfc41d01ef,2024-08-23 01:41:40.288,0.0,False,False,0.0
4840e323399b8b086a08b77c4407ce67,66c7b77fec01ef72aa803b4d,2024-08-23 00:11:11.407,100.0,True,False,0.7805280685424805
4840e323399b8b086a08b77c4407ce67,6536369f342758533cd60ba0,2023-10-23 11:02:23.193,100.0,True,False,0.7840578556060791
4840e323399b8b086a08b77c4407ce67,6536368a24b0d467d651075b,2023-10-23 11:02:02.305,0.0,False,False,0.0
e2d7ef67e462fd8180e62f21f7414148,66c7a982ec01ef72aa803a7f,2024-08-22 23:11:30.632,100.0,True,False,0.9329450130462646
e2d7ef67e462fd8180e62f21f7414148,66c7a9795a361291a3a9e6a2,2024-08-22 23:11:21.110,0.0,True,False,0.7282023429870605
e2d7ef67e462fd8180e62f21f7414148,65ea4f256ca9014114f4756e,2024-03-08 00:35:01.304,100.0,True,False,0.6589980125427246
e2d7ef67e462fd8180e62f21f7414148,65ea4f02d42cd9e34613d655,2024-03-08 00:34:26.241,0.0,True,True,0.7239952087402344
e2d7ef67e462fd8180e62f21f7414148,65ea4ee06ca9014114f47564,2024-03-08 00:33:52.660,0.0,True,True,0.8103947639465332
61ae311b5d320909816193cec86fd2e1,66c76102163decb65c994ddb,2024-08-22 18:02:10.020,100.0,True,False,1.0933234691619873
61ae311b5d320909816193cec86fd2e1,66c760eaec01ef72aa8035f4,2024-08-22 18:01:46.380,0.0,False,False,0.0
61ae311b5d320909816193cec86fd2e1,66c760da5a361291a3a9e36a,2024-08-22 18:01:30.384,0.0,False,False,0.0
