misconception,detected,tp,estimated_fn,precision,relative_recall
DeferredReturn,8,8,21.25,1.0,0.292
CannotChainMemberAccesses,141,136,85.5,0.965,0.614
ComparisonWithBoolLiteral,11,10,3,0.909,0.769
DelSelf,0,0,0,1.0,1.0
IfIsLoop,3675,3601,330.34,0.98,0.916
InitCreates,10,10,6.813,1.0,0.616
InitShouldReturn,23,23,4.702,1.0,0.835
ManualForLoopAugment,32,32,13.75,1.0,0.729
MapToBooleanWithIf,597,597,247.52,1.0,0.849
MapToBooleanWithTO,4,4,0,1.0,1.0
NewAttributesInMethod,512,512,88.56,1.0,0.853
NoEmptyInit,4,4,13.14,1.0,0.283
SelfAssignable,1,1,0,1.0,1.0
UnusedForLoopVariable,1125,1125,845.39,1.0,0.841
UselessForLoopRange,603,567,60.72,0.94,0.903
VariablesHaveDefaultValue,251,218,139.5,0.868,0.61
WastedReturnValue,67,58,4.883,0.866,0.923
